company_id,company_name,lawman,cellphone,email,registered_capital,address,industry,scope_business,unique_social_credit_code,register_number,organization_code,business_status,company_type,publish_time,business_limit,registration_authority,approved_time,english_name,former_name,company_address
3fa08e3771f9f63b1aa88a4a514b94b1,,,"
                                电话：
                                                                	020-85271379
                                                                ","
                                    lai.yingchun@inabata.com
                                ",600万美元,"官网：
                                                                  暂无",2017-02-16,广州保税区东江大道455号芙蓉大厦首层105室,91440116778350757T,91440116778350757T,440108400002472,77835075-7,存续,2005-08-16,有限责任公司(台港澳法人独资),50-99人,2005-08-16 至 2055-08-16,"Guangzhou Inabata Trading Co., Ltd.",广东省,批发和零售业
00b27faab535d5c53dc9bf947a56dc96,,,"
                                电话：
                                                                	020-83202060
                                                                ",,100万美元,"官网：
                                                                  暂无",2017-02-06,广州市越秀区环市中路207号自编C501房,91440101583368914Y,91440101583368914Y,-,58336891-4,存续,2011-11-15,有限责任公司(外国自然人独资),-,2011-11-15 至 2031-11-15,"Guangzhou Nimeng Haijia Trade Co.,Ltd.",广东省,批发和零售业
0e9812390f170eda185b37dc4a405357,,,"
                                电话：
                                                                	020-22378562
                                                                ","
                                    Lzw0702@163.com
                                ",20万美元,"官网：
                                                                  暂无",2016-11-24,广州市越秀区环市东路371-375号世界贸易中心大厦南塔2314室,91440101578026127K,91440101578026127K,440101400087268,57802612-7,存续,2011-07-29,有限责任公司(外国法人独资),-,2011-07-29 至 2031-07-29,"Guangzhou Keli'en Trade Co.,Ltd.",广东省,批发和零售业
314a145f40280b2fced9f7eb6d590195,,,"
                                电话：
                                                                	020-38821313
                                                                ","
                                    wlihong@4008882030.com
                                ",100万人民币,"官网：
                                                                  暂无",2014-09-15,广州市天河区天河路242号1807房,914401015659624859,914401015659624859,-,-,存续,2011-01-19,有限责任公司(台港澳法人独资),-,2011-01-19 至 2021-01-19,-,广东省,批发和零售业
2ef296b835204fe7a25b239ac5f32dba,,,"
                                电话：
                                                                	020-87608320
                                                                ","
                                    alpha-ac@gzalpha.com
                                ",40万美元,官网：,2016-09-30,广州市越秀区环市东路371-375号南塔1307A房,9144010167182801X4,9144010167182801X4,440101400079217,67182801-X,存续,2008-03-07,有限责任公司(外商合资),外资（非欧美） / 50-99人,2008-03-07 至 2028-03-07,"Guangzhou Efa Trade Co., Ltd.",广东省,批发和零售业
10b25955b28d03eabc132c2b3772f398,,,"
                                电话：
                                                                	020-39232167
                                                                ","
                                    332509292@qq.com
                                ",200万人民币,"官网：
                                                                  暂无",2017-04-13,广州市番禺区洛浦街西三村开发东路3号达新工业园A幢五楼,91440113072118948X,91440113072118948X,440126400025694,07211894-8,存续,2013-07-29,有限责任公司(台港澳法人独资),外资（非欧美）/50-99人,2013-07-29 至 2043-07-29,"Guangzhou Daka Trade Co.,Ltd.",广东省,批发和零售业
5600eedfcdf419da37f1f1d1827d1d23,,,"
                                电话：
                                                                	020-38780612
                                                                ","
                                    cici.chen@theoneidagroup.cn
                                ",1000万人民币,官网：,2017-04-21,"广州市天河区体育东路136,138号金利来数码网络大厦自编层第23层［自然层第22层］中09-10房",91440101677787570N,91440101677787570N,-,67778757-0,存续,2008-08-15,有限责任公司(外国法人独资),1-49人,2008-08-15 至 2038-08-15,"Aonaida (Guangzhou) Food & Beverage Devices Co., Ltd.",广东省,批发和零售业
e0a317a278e3b67977e261e26aa4e4c3,,,"
                                电话：
                                                                	020-38888772
                                                                ","
                                    vka@modern.asia
                                ",100万港元,"官网：
                                                                  暂无",2016-11-09,广州市天河区天河北路574-578号帝景苑商业中心411室,91440101673485129P,91440101673485129P,440101400019870,67348512-9,存续,2008-06-02,有限责任公司(台港澳与外国投资者合资),50-99人,2008-06-02 至 2028-06-02,-,广东省,批发和零售业
4fc385b5a13e1ee82d9cfbfc3b431645,,,"
                                电话：
                                                                	020-83503122
                                                                ","
                                    153941069@qq.com
                                ",20万美元,"官网：
                                                                  暂无",2014-04-14,广州市荔湾区中山七路65号2403房,91440101574024917Q,91440101574024917Q,-,57402491-7,存续,2011-05-26,有限责任公司(台港澳法人独资),-,2011-05-26 至 2031-05-26,"Guangzhou Weizhixin Trade Co.,Ltd.",广东省,批发和零售业
3798a912c58052561eaf15f426ef7d35,,,"
                                电话：
                                                                	020-86084131
                                                                ",,250万人民币,"官网：
                                                                  暂无",2017-02-24,广州市白云区石井镇广州军区后勤部汽车维修检测中心内,91440101725614923P,91440101725614923P,440101400075328,72561492-3,存续,2000-12-22,有限责任公司(中外合作),外资企业 / 50-99人,2000-12-22 至 2020-12-22,"Guangzhou Yingbang Famous Vehicle Electronic Automatic Gear-box Co., Ltd.",广东省,居民服务、修理和其他服务业
